0	N0CALL
1140315	FRS0315	Mickael
1140316	FRS0316	Christian
1140317	FRS0317	Ange
1140318	FRS0318	Nicolas
1140319	FRS0319	J.Pierre
1140320	FRS0320	Mathieu
1140321	FRS0321	Claude
1140322	FRS0322	Ali
1140323	FRS0323	Yann
1140324	FRS0324	Eric
1140325	FRS0325	Sylvain
1140326	FRS0326	J.Pierre
1140327	FRS0327	Marc
1140328	FRS0328	Pascal
1140329	FRS0329	Josi
1140330	FRS0330	Maxime
1140331	FRS0331	Jacques
1140332	FRS0332	Amaury
1140333	FRS0333	Francis
1140334	FRS0334	Florian
1140335	FRS0335	Denis
1140336	FRS0336	Alain
1140337	FRS0337	Christophe
1140338	FRS0338	J.Noel
1140339	FRS0339	Daniel
1140340	FRS0340	Marc
1140341	FRS0341	Mickael
1140342	FRS0342	Bruno
1140343	FRS0343	Mathieu
1140344	FRS0344	Guy
1140345	FRS0345	Franck
1140346	FRS0346	Arnaud
1140347	FRS0347	J.Pierre
1140348	FRS0348	Stephane
1140349	FRS0349	Willy
1140350	FRS0350	Hugues
1140351	FRS0351	Jerome
1140352	FRS0352	Dimitri
1140353	FRS0353	Rodrigue
1140354	FRS0354	Nicolas
1140355	FRS0355	Christophe
1140356	FRS0356	Cedric
1140357	FRS0357	J.Marc
1140358	FRS0358	Guy
1140359	FRS0359	Bruno
1140360	FRS0360	Corinne
1140361	FRS0361	Denis
1140362	FRS0362	Jerome
1140363	FRS0363	Sebastien
1140364	FRS0364	Michel
1140365	FRS0365	Jerome
1140366	FRS0366	Michel
1140367	FRS0367	Nicolas
1140368	FRS0368	Lionel
1140369	FRS0369	J.Pierre
1140370	FRS0370	Christophe
1140371	FRS0371	J.Claude
1140372	FRS0372	Arnaud
1140373	FRS0373	Eric
1140374	FRS0374	Thierry
1140375	FRS0375	Dominique
1140376	FRS0376	Frederic
1140377	FRS0377	Jeremy
1140378	FRS0378	Jean
1140379	FRS0379	Laurent
1140380	FRS0380	Laurent
1140381	FRS0381	Marie
1140382	FRS0382	Rene
1140383	FRS0383	Rico
1140384	FRS0384	Lionel
1140385	FRS0385	Sylvain
1140386	FRS0386	Christophe
1140387	FRS0387	Daniel
1140388	FRS0388	Nathanael
1140389	FRS0389	Joel
1140390	FRS0390	Jeremie
1140391	FRS0391	Thierry
1140392	FRS0392	Claude
1140393	FRS0393	Paul
1140394	FRS0394	Laurent
1140395	FRS0395	Frederic
1140396	FRS0396	Antoine
1140397	FRS0397	Francis
1140398	FRS0398	Bernard
1140399	FRS0399	Antoine
1140400	FRS0400	Philippe
1140401	FRS0401	Nathalie
1140402	FRS0402	Mario
1140403	FRS0403	Jacques
1140404	FRS0404	Mickael
1140405	FRS0405	Olivier
1140406	FRS0406	Gilbert
1140407	FRS0407	Jacky
1140408	FRS0408	Anders
1140409	FRS0409	Joaquim
1140410	FRS0410	Geoffrey
1140411	FRS0411	Anthony
1140412	FRS0412	Philippe
1140413	FRS0413	David
1140414	FRS0414	Jean
1140415	FRS0415	Robert
1140416	FRS0416	Jo
1140417	FRS0417	Fred
1140418	FRS0418	Christophe
1140419	FRS0419	Renzo
1140420	FRS0420	Claude
1140421	FRS0421	Emmanuel
1140422	FRS0422	Marc
1140423	FRS0423	Joan
1140424	FRS0424	Bruno
1140425	FRS0425	Clement
1140426	FRS0426	Eric
1140427	FRS0427	Philippe
1140428	FRS0428	Stephane
1140429	FRS0429	Florian
1140430	FRS0430	Philippe
1140431	FRS0431	Henri
1140432	FRS0432	Patrick
1140433	FRS0433	J.Francois
